,Unnamed: 0,name,type,industry,monitization,selling_method,site_age_in_years,net_profit_in_dollar_per_month,price_in_dollars
0,0,QuizApes.com,Content,Entertainment,Ads,Site Age,2,964.0,27500
1,1,Ideas That Spark,Content,Home and Garden,Affiliate Sales,Site Age,14,12.0,2000
2,2,RootingSteps.com,Content,Electronics,Affiliate Sales,Site Age,3,1183.0,29575
3,3,CONFIDENTIAL,Content,Internet,Affiliate Sales,Site Age,3,40786.0,1500000
4,4,Finance Today,Content,Business,Affiliate Sales,Site Age,4,150.0,4590
5,5,KaraokeMachinesGuru.com,Content,Electronics,Affiliate Sales,Site Age,2,299.0,5050
6,6,Spinning Pom,Content,Home and Garden,Affiliate Sales,Site Age,4,200.0,4850
7,7,Hunde-Zauber,Content,Home and Garden,Affiliate Sales,Site Age,2,3188.0,145344
8,8,Audio Rumble,Content,Electronics,Affiliate Sales,Site Age,7,142.0,2700
9,9,embraceyouhealth.com,Content,Health and Beauty,Affiliate Sales,Site Age,3,924.0,1100
10,10,Ticket Online Booking,Content,Travel,Affiliate Sales,Site Age,2,17.0,605
11,11,Pro Music Vault,Content,Entertainment,Affiliate Sales,Site Age,3,458.0,14500
12,12,Lambocars.com,Content,Automotive,Ads,Site Age,21,519.0,22000
13,13,NiteThrive.com,Content,Travel,Affiliate Sales,Site Age,4,1142.0,32000
14,14,Shooting and Safety,Content,Business,Affiliate Sales,Site Age,7,686.0,26000
15,15,Acknowledgement World,Content,Education,Affiliate Sales,Site Age,3,468.0,12000
16,16,Mantanime,Content,Entertainment,Affiliate Sales,Site Age,2,54.0,1600
17,17,TrampolineAddict.com,Content,Hobbies and Games,Affiliate Sales,Site Age,1,134.0,5050
18,18,DND5eCharacterSheet.com,Content,Hobbies and Games,Affiliate Sales,Site Age,5,256.0,8850
19,19,CONFIDENTIAL,Content,Travel,Affiliate Sales,Site Age,2,3374.0,150000
20,20,ArcheryandBow.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,3,116.0,2000
21,21,ANIMEHYPE,Content,Entertainment,Ads,Site Age,1,130.0,6800
22,22,How To Wiki,Content,General Knowledge,Ads,Site Age,6,993.0,25000
23,23,CONFIDENTIAL,Content,Education,Adsense,Site Age,3,561.0,20000
24,24,CONFIDENTIAL,Content,General Knowledge,Ads,Site Age,10,5823.0,200500
25,25,Dating Everywhere,Content,Lifestyle,Affiliate Sales,Site Age,2,23.0,775
26,26,Funds Verification Required,Content,Health and Beauty,Affiliate Sales,Site Age,11,8149.0,360000
27,27,Poultry Pages,Content,Home and Garden,Affiliate Sales,Site Age,23,866.0,39999
28,28,Parker-Marker,Content,General Knowledge,Affiliate Sales,Site Age,4,3244.0,85000
29,29,CONFIDENTIAL,Content,Home and Garden,Affiliate Sales,Site Age,1,1238.0,30000
30,30,The Linux Code - Top Linux Blog,Content,Education,Ads,Site Age,4,72.0,1000
31,31,A Health Blog,Content,Health and Beauty,Affiliate Sales,Site Age,10,59.0,1601
32,32,Image Restoration Center,Content,Design and Style,Affiliate Sales,Site Age,3,8184.0,195000
33,33,TelescopeGuides.com,Content,Hobbies and Games,Affiliate Sales,Site Age,4,292.0,13000
34,34,Swimsuits 101,Content,Sports and Outdoor,Affiliate Sales,Site Age,3,701.0,5000
35,35,forgingworld.com,Content,Hobbies and Games,Affiliate Sales,Site Age,2,108.0,3300
36,36,Ecommerce Business Review,Content,Business,Affiliate Sales,Site Age,2,47.0,1300
37,37,Archery Power,Content,Sports and Outdoor,Affiliate Sales,Site Age,4,160.0,5000
38,38,BeautifiedDesigns.com,Content,Health and Beauty,Ads,Site Age,5,1361.0,26000
39,39,A Love of Rottweilers,Content,Home and Garden,Affiliate Sales,Site Age,13,124.0,6602
40,40,Easy-to-Manage 22-Month-Old Magisk Tutorial Site Making $404.98 Per Month Using AdSense and Guest Posts,Content,Internet,Ads,Site Age,2,204.0,7900
