Unnamed: 0.1,Unnamed: 0,name,type,industry,monitization,selling_method,site_age_in_years,net_profit_in_dollar_per_month,price_in_dollars
0,0,holidaymojacar.com,Content,Travel,Ads,Site Age,11,Starting Price,398
1,1,FashionBirds.net,Content,Design and Style,Affiliate Sales,Site Age,1,Sold,350
2,2,headfordreams.com,Content,General Knowledge,Ads,Site Age,4,28 days left,50
3,3,Cannabis Sensei,Content,General Knowledge,Affiliate Sales,Site Age,3,Sold,3000
4,4,expertportals.com,Content,Business,Ads,Site Age,9,Starting Price,398
5,5,fumigegakkai.net,Content,Hobbies and Games,Ads,Site Age,2,Starting Price,498
6,6,The Feel Good Lifestyle,Content,Lifestyle,Affiliate Sales,Site Age,11,Sold,1000
7,7,Depression Cure,Content,Health and Beauty,Affiliate Sales,Site Age,3,9 days left,1000
8,8,RegionalFoodSolutions,Content,Food and Drink,Affiliate Sales,Site Age,1,Asking Price,500
9,9,Education Blog (U.S Flag) with 119 posts (88K++ words) Adsense & Affiliate Ready - START $1,Content,Education,Affiliate Sales,Site Age,1,25 days left,50
10,10,Online Shopping Freak,Content,Health and Beauty,Affiliate Sales,Site Age,8,Asking price,8000
11,11,sthock.com,Content,Automotive,Ads,Site Age,1,Sold,398
12,12,pharmatreasures.com,Content,Health and Beauty,Ads,Site Age,1,Asking Price,398
13,13,Coupons and Deals Blog with 65 posts (81K+ words) Adsense & Affiliate Ready - STARTS AT $1,Content,Internet,Affiliate Sales,Site Age,1,Sold,220
14,14,RussianHockeyFans.com,Content,Sports and Outdoor,,Site Age,13,Asking price,1499
15,15,MamaOnParade.com,Content,Health and Beauty,Ads,Site Age,4,Sold,360
16,16,smackrecipes.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,150
17,17,Tech Blog for Photography Education with 117 posts (90K++ words) Adsense & Affiliate Ready - START $1,Content,Education,Affiliate Sales,Site Age,1,26 days left,3
18,18,Mova Mail,Content,Entertainment,Affiliate Sales,Site Age,1,Sold,350
